Fecha,Producto,Division,Precio,Variacion,Porcentaje
2025-06-02 21:21,Yerba Mate Taragüi 4 Flex 500 Gr.,Almacén,4500.0,0.0,0.0
2025-06-02 21:21,Pan Mignon 250 Gr,Panificados,918.0,0.0,0.0
2025-06-02 21:21,Vainillas DIA 148 Gr.,Panificados,2500.0,0.0,0.0
2025-06-02 21:21,Harina de Trigo 000 DIA 1 Kg,Almacén,1580.0,0.0,0.0
2025-06-02 21:21,Polenta Prestopronta 500 Gr.,Almacén,1325.0,0.0,0.0
2025-06-02 21:21,Fideos Tirabuzón Favorita 500 Gr,Almacén,3000.0,0.0,0.0
2025-06-02 21:21,Dulce de Batata Emeth 500 Gr,Almacén,2500.0,0.0,0.0
2025-06-02 21:21,Mermelada BC Durazno 390 Gr,Almacén,3175.0,0.0,0.0
2025-06-02 21:21,Lentejas Dia 400 Gr,Almacén,2100.0,0.0,0.0
2025-06-02 21:21,Puré de Tomate Dia 520 Gr.,Almacén,790.0,0.0,0.0
2025-06-02 21:21,Jamón Cocido Fetas Finas Dia 200 Gr (Ejemplo para Paleta Cocida),Frescos,3355.0,0.0,0.0
2025-06-02 21:21,Salamín Cagnoli Picado Grueso 145 Gr (Ejemplo para Salame),Frescos,5290.0,0.0,0.0
2025-06-02 21:21,Huevo Blanco Grande x 12 unidades,Frescos,7980.0,0.0,0.0
2025-06-02 21:21,Manteca DIA Calidad Extra 200 Gr,Frescos,3000.0,0.0,0.0
2025-06-02 21:21,Vino Tinto Cabernet Buenos Aires 750 Ml.,Bebidas alcohólicas y tabaco,4700.0,0.0,0.0
2025-06-02 21:21,Mayonesa DIA 220 Ml.,Almacén,725.0,0.0,0.0
2025-06-02 21:21,Caldo De Verdura Maggi x 12 Ud.,Almacén,1480.0,0.0,0.0
2025-06-02 21:21,Arveja Congelada DIA 350 Gr,Almacén,1990.0,0.0,0.0
2025-06-02 21:21,"Jugo en Polvo Light Dia 7,5 Gr",Bebidas alcohólicas y tabaco,280.0,0.0,0.0
2025-06-03 11:34,Galletita de Agua Cracker Dia 101 Gr,Panificados,2350.0,775.0,49.2063492063492
2025-06-03 11:34,Arroz Largo Fino Molinos Ala 500 Gr.,Almacén,3120.0,0.0,0.0
2025-06-03 11:34,Papa Negra x 1 Kg,Frescos,6650.0,2100.0,46.15384615384615
2025-06-03 11:34,Batata x 1 Kg,Frescos,1290.0,0.0,0.0
2025-06-03 11:34,Azúcar Plus DIA Común tipo A 1 Kg,Almacén,1980.0,0.0,0.0
2025-06-03 11:34,Dulce de Leche Clásico La Serenísima con calcio 400 Gr,Almacén,3135.0,0.0,0.0
2025-06-03 11:34,Acelga x 1 Kg,Frescos,3090.0,0.0,0.0
2025-06-03 11:34,Cebolla Morada x 1 Kg,Frescos,3380.0,0.0,0.0
2025-06-03 11:34,Lechuga Mantecosa x 1 Kg,Frescos,4790.0,0.0,0.0
2025-06-03 11:34,Tomate Perita x 1 Kg,Frescos,5780.0,0.0,0.0
2025-06-03 11:34,Zanahoria x 1 Kg,Frescos,2580.0,0.0,0.0
2025-06-03 11:34,Zapallo x 1 Kg,Frescos,890.0,0.0,0.0
2025-06-03 11:34,Manzana Roja x 1 Kg,Frescos,5380.0,0.0,0.0
